"","level","Date.Time","tide","tide2"
"77",1.863,2024-09-19 00:40:00,"H","LH"
"78",0.06,2024-09-19 08:00:00,"L","HL"
"79",1.974,2024-09-19 13:00:00,"H","HH"
"80",0.059,2024-09-19 22:20:00,"L","LL"
"81",1.955,2024-09-20 01:30:00,"H","LH"
"82",0.059,2024-09-20 08:40:00,"L","HL"
"83",2.175,2024-09-20 13:50:00,"H","HH"
"84",0.058,2024-09-20 20:20:00,"L","LL"
"85",2.023,2024-09-21 02:20:00,"H","LH"
"86",0.057,2024-09-21 09:50:00,"L","LL"
"87",2.133,2024-09-21 14:30:00,"H","HH"
"88",0.058,2024-09-21 20:20:00,"L","HL"
"89",1.797,2024-09-22 03:10:00,"H","LH"
"90",0.058,2024-09-22 09:10:00,"L","HL"
"91",2.103,2024-09-22 15:30:00,"H","HH"
"92",0.058,2024-09-22 20:40:00,"L","LL"
"93",1.61,2024-09-23 04:10:00,"H","LH"
"94",0.061,2024-09-23 09:00:00,"L","HL"
"95",1.866,2024-09-23 16:20:00,"H","HH"
"96",0.054,2024-09-24 00:10:00,"L",NA
"97",1.388,2024-09-24 05:00:00,"H","LH"
"98",0.057,2024-09-24 10:00:00,"L",NA
"99",1.677,2024-09-24 17:30:00,"H","HH"
"100",0.054,2024-09-24 23:20:00,"L",NA
"101",1.245,2024-09-25 05:50:00,"H","LH"
"102",0.058,2024-09-25 12:00:00,"L","LL"
"103",1.535,2024-09-25 18:20:00,"H","HH"
"104",0.056,2024-09-26 03:40:00,"L","LL"
"105",1.184,2024-09-26 06:50:00,"H","LH"
"106",0.06,2024-09-26 12:50:00,"L","HL"
"107",1.525,2024-09-26 19:30:00,"H","HH"
"108",0.057,2024-09-27 02:40:00,"L","HL"
"109",1.132,2024-09-27 07:50:00,"H","LH"
"110",-0.012,2024-09-27 17:10:00,"L","LL"
"111",1.459,2024-09-27 20:30:00,"H","HH"
"112",0.057,2024-09-28 02:40:00,"L","HL"
"113",1.18,2024-09-28 09:20:00,"H","LH"
"114",0.042,2024-09-28 18:10:00,"L","LL"
